Price,Close,High,Low,Open,Volume,Date
217.9499969482422,217.9499969482422,220.00999450683594,216.52000427246094,219.3000030517578,44308500,2025-10-22
221.08999633789062,221.08999633789062,221.3000030517578,218.17999267578125,219.0,31540000,2025-10-23
224.2100067138672,224.2100067138672,225.39999389648438,221.89999389648438,221.97000122070312,38685100,2025-10-24
226.97000122070312,226.97000122070312,228.39999389648438,225.5399932861328,227.66000366210938,38267000,2025-10-27
229.25,229.25,231.49000549316406,226.2100067138672,228.22000122070312,47100000,2025-10-28
230.3000030517578,230.3000030517578,232.82000732421875,227.75999450683594,231.6699981689453,52036200,2025-10-29
222.86000061035156,222.86000061035156,228.44000244140625,222.75,227.05999755859375,102252900,2025-10-30
244.22000122070312,244.22000122070312,250.5,243.97999572753906,250.10000610351562,166340800,2025-10-31
254.0,254.0,258.6000061035156,252.89999389648438,255.36000061035156,95997800,2025-11-03
249.32000732421875,249.32000732421875,257.010009765625,248.66000366210938,250.3800048828125,51546300,2025-11-04
250.1999969482422,250.1999969482422,251.0,246.16000366210938,249.02999877929688,40610700,2025-11-05
243.0399932861328,243.0399932861328,250.3800048828125,242.1699981689453,249.16000366210938,46004200,2025-11-06
244.41000366210938,244.41000366210938,244.89999389648438,238.49000549316406,242.89999389648438,46374300,2025-11-07
248.39999389648438,248.39999389648438,251.75,245.58999633789062,248.33999633789062,36476500,2025-11-10
249.10000610351562,249.10000610351562,249.75,247.22999572753906,248.41000366210938,23564100,2025-11-11
244.1999969482422,244.1999969482422,250.3699951171875,243.75,250.24000549316406,31190100,2025-11-12
237.5800018310547,237.5800018310547,243.75,236.5,243.0500030517578,41401700,2025-11-13
234.69000244140625,234.69000244140625,238.72999572753906,232.88999938964844,235.05999755859375,38956700,2025-11-14
232.8699951171875,232.8699951171875,234.60000610351562,229.19000244140625,233.25,59919000,2025-11-17
222.5500030517578,222.5500030517578,230.1999969482422,222.4199981689453,228.10000610351562,60608400,2025-11-18
222.69000244140625,222.69000244140625,223.74000549316406,218.52000427246094,223.74000549316406,58335600,2025-11-19
217.13999938964844,217.13999938964844,227.41000366210938,216.74000549316406,227.0500030517578,50309000,2025-11-20
220.69000244140625,220.69000244140625,222.2100067138672,215.17999267578125,216.35000610351562,68435400,2025-11-21
